benchmark,predicted_relative_return,prediction_std,signal_to_noise,ic,hit_rate,signal,prob_outperform,confidence_tier,calibrated_prob_outperform,ci_lower,ci_upper,ci_width,ci_empirical_coverage,ci_n_calibration
VTI,-0.017167501309455286,0.15284409780662525,0.11232034181113885,0.015859264295100026,0.49774774774774777,NEUTRAL,0.4552847067134598,LOW,0.5996543808080623,-0.4541842242761556,0.4198492216572451,0.8740334459334007,0.9459459459459459,222
VOO,0.008197216151843387,0.15357703427253547,0.053375273136846306,-0.10140173827329195,0.4259259259259259,NEUTRAL,0.5212835468498312,LOW,0.6729047784408655,-0.3051087755709484,0.32150320787463516,0.6266119834455836,0.8425925925925926,108
VGT,-0.03098227453645407,0.20378566397370343,0.15203363147494042,0.06878940683463344,0.5161290322580645,UNDERPERFORM,0.4395802049439371,LOW,0.5388137711332517,-0.41152233649098496,0.3495577874180768,0.7610801239090618,0.956989247311828,186
VHT,0.04538260072802254,0.16005837383254165,0.283537809621278,0.10101858366731717,0.564516129032258,OUTPERFORM,0.6116176988044817,MODERATE,0.6399345582688528,-0.30370534794492976,0.3944705494009748,0.6981758973459046,0.956989247311828,186
VFH,0.05576716426200545,0.11937816907387921,0.4671470897454709,-0.022887009796854995,0.4798387096774194,NEUTRAL,0.6798026772417854,MODERATE,0.5990705525689127,-0.19758004447374988,0.3091143729977608,0.5066944174715107,0.8387096774193549,186
VIS,0.008129136361657,0.14552469966846274,0.0558608702177497,-0.00039222167253158066,0.475,NEUTRAL,0.5222736784135423,LOW,0.6331884496708403,-0.36371653804110127,0.3799748107644153,0.7436913488055166,0.9666666666666667,180
VDE,0.07606875816652767,0.19509773488087181,0.3899007756957088,-0.02648151790312815,0.5277777777777777,NEUTRAL,0.6516950398539729,MODERATE,0.6323915028418373,-0.3176451273475359,0.4697826436805913,0.7874277710281272,0.8777777777777778,180
VPU,0.06066568485310707,0.13909023969987394,0.4361606176250054,0.17450764373606842,0.5618279569892474,OUTPERFORM,0.6686399004138368,MODERATE,0.6729655304253467,-0.2896720603492158,0.41100343005542994,0.7006754904046457,0.956989247311828,186
KIE,0.025488907050016777,0.10247361061836893,0.2487363028998976,0.07177283788934166,0.5044642857142857,OUTPERFORM,0.5982176172417146,LOW,0.6498966599391967,-0.22883710723873224,0.2798149213387658,0.508652028577498,0.8154761904761905,168
VXUS,-0.029594849662474516,0.1397807339204603,0.21172338155925643,-0.08755122339176245,0.5637254901960784,NEUTRAL,0.4161614228789758,LOW,0.7491353552957043,-0.4313053885950402,0.3721156892700912,0.8034210778651314,0.9509803921568627,102
VEA,-0.010322717336772704,0.14099866085936666,0.07321145657595057,-0.07024669061250331,0.576388888888889,NEUTRAL,0.47081892491274413,LOW,0.7292423959798692,-0.43064062265486347,0.40999518798131807,0.8406358106361815,0.9513888888888888,144
VWO,-0.0072537689990460705,0.14396020640961057,0.050387320079320334,0.01847758083317376,0.5589080459770115,NEUTRAL,0.47990687033139695,LOW,0.7342988914987141,-0.37690765204613386,0.36240011404804173,0.7393077660941756,0.9252873563218391,174
VIG,0.010355487623210107,0.13969732677939217,0.07412802994837067,0.07368953793106278,0.513888888888889,OUTPERFORM,0.5295457440306903,LOW,0.6484703858572723,-0.3023616356262427,0.32307261087266287,0.6254342464989056,0.9691358024691358,162
SCHD,0.10614139724320688,0.27245204648289356,0.38957827116145805,-0.1304826995188184,0.5078125,NEUTRAL,0.6515757888902955,MODERATE,0.6529263180007717,-0.3512908450029858,0.5635736394893995,0.9148644844923853,0.9166666666666666,96
BND,0.06361848439827676,0.13229388116937013,0.48088758025648043,0.11564430186255448,0.61,OUTPERFORM,0.6847017998836047,MODERATE,0.7528648686134253,-0.24400537810467599,0.37124234690122954,0.6152477250059055,0.9466666666666667,150
BNDX,0.06923665839363678,0.13020512582397073,0.531750635433819,0.16480553113051144,0.6057692307692307,OUTPERFORM,0.7025506416322628,HIGH,0.7308579883090115,-0.22930783697973672,0.3677811537670103,0.597088990746747,0.9487179487179487,78
VCIT,0.04482496906464034,0.13257969362679317,0.33809830026324345,0.07029978123268142,0.5958333333333333,OUTPERFORM,0.6323554443019095,MODERATE,0.7496504489334778,-0.29056552206826375,0.38021546019754443,0.6707809822658082,0.95,120
VMBS,0.06603965022521345,0.13029465355483086,0.5068485039366755,0.11441164557409408,0.6270833333333332,OUTPERFORM,0.6938694398164327,MODERATE,0.7580839204168333,-0.2662631767775316,0.3983424772279585,0.6646056540054901,0.95,120
VNQ,0.008811975802036288,0.13312923049287087,0.06619114201601407,0.1030453539756127,0.538888888888889,NEUTRAL,0.5263871755214117,LOW,0.6168648051825321,-0.3147440561835723,0.3323680077876449,0.6471120639712172,0.9,180
GLD,-0.17252710861153378,0.1514695677605493,1.1390215946497801,0.13806590277216346,0.5763888888888888,UNDERPERFORM,0.1273470736915091,HIGH,0.6178706623230026,-0.5280624534229298,0.1830082361998622,0.711070689622792,0.8666666666666667,180
DBC,-0.014278068931651858,0.1737883512678123,0.0821578018750462,0.09322889276314483,0.6033950617283951,UNDERPERFORM,0.46726061459032436,LOW,0.7489412772911918,-0.350175583119784,0.3216194452564803,0.6717950283762643,0.8888888888888888,162
